# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
 5   1539 11.28  23.2   1.9 11.91  0.63 5.20e+12  17.4 1556 1523
 5   1573 11.78  23.0   1.9 12.38  0.57 4.73e+12  16.0 1590 1556
 5   1608 12.31  22.7   1.8 12.85  0.52 4.31e+12  14.7 1625 1590
 5   1643 12.86  22.5   1.7 13.31  0.47 3.93e+12  13.5 1661 1625
 5   1680 13.43  22.3   1.6 13.77  0.43 3.60e+12  12.5 1698 1661
 5   1717 14.03  22.0   1.5 14.21  0.40 3.30e+12  11.7 1735 1698
 5   1755 14.66  21.7   1.5 14.63  0.37 3.03e+12  10.9 1774 1735
 5   1793 15.31  21.4   1.4 15.03  0.34 2.79e+12  10.2 1813 1774
 5   1833 15.99  21.1   1.4 15.41  0.31 2.58e+12   9.7 1853 1813
 5   1873 16.71  20.8   1.3 15.76  0.29 2.39e+12   9.2 1894 1853
 5   1915 17.45  20.4   1.3 16.08  0.27 2.22e+12   8.8 1935 1894
 5   1957 18.23  20.1   1.2 16.35  0.25 2.07e+12   8.4 1978 1935
 5   2000 19.04  19.7   1.2 16.59  0.23 1.94e+12   8.2 2022 1978
 5   2044 19.89  19.3   1.2 16.77  0.22 1.83e+12   8.0 2066 2022
 5   2089 20.78  19.0   1.1 16.90  0.21 1.73e+12   7.8 2112 2066
 5   2135 21.71  18.6   1.1 16.97  0.20 1.65e+12   7.8 2159 2112
 5   2182 22.68  18.2   1.1 16.97  0.19 1.57e+12   7.8 2206 2159
 5   2231 23.69  17.7   1.0 16.91  0.18 1.51e+12   7.9 2255 2206
 5   2280 24.74  17.3   1.0 16.77  0.18 1.47e+12   8.1 2305 2255
 5   2330 25.85  16.9   1.0 16.55  0.17 1.43e+12   8.4 2355 2305
 5   2381 27.00  16.4   1.0 16.25  0.17 1.40e+12   8.8 2407 2355
 5   2434 28.21  16.0   1.0 15.87  0.17 1.39e+12   9.3 2460 2407
 5   2488 29.46  15.5   1.0 15.40  0.17 1.39e+12  10.0 2515 2460
 5   2543 30.78  15.0   1.0 14.85  0.17 1.40e+12  10.9 2570 2515
 5   2599 32.15  14.5   1.0 14.21  0.17 1.42e+12  12.1 2627 2570
 6    912  3.96  21.3   5.8  3.66  5.62 4.66e+13 171.3  922  902
 6    932  4.14  21.8   5.5  3.93  5.09 4.22e+13 153.2  942  922
 6    952  4.32  22.2   5.3  4.21  4.61 3.82e+13 136.9  963  942
 6    973  4.51  22.6   5.0  4.52  4.16 3.45e+13 122.3  984  963
 6    995  4.71  23.0   4.8  4.83  3.76 3.12e+13 109.3 1006  984
 6   1017  4.92  23.4   4.5  5.17  3.39 2.81e+13  97.6 1028 1006
 6   1039  5.14  23.7   4.3  5.52  3.06 2.54e+13  87.1 1051 1028
 6   1062  5.37  24.0   4.1  5.89  2.76 2.29e+13  77.8 1074 1051
 6   1086  5.61  24.3   3.9  6.27  2.49 2.06e+13  69.5 1098 1074
 6   1110  5.86  24.5   3.7  6.67  2.24 1.86e+13  62.1 1122 1098
 6   1134  6.12  24.7   3.5  7.09  2.02 1.67e+13  55.5 1147 1122
 6   1159  6.40  24.9   3.3  7.52  1.82 1.51e+13  49.7 1172 1147
